City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,Gwembe,-16.4975,27.6069,70.79,81,31,4.45,ZM,2023-01-12 15:33:42
307,Ofaqim,31.3141,34.6203,58.71,60,23,5.55,IL,2023-01-12 15:33:43
308,Sur,22.5667,59.5289,67.19,56,59,20.22,OM,2023-01-12 15:33:43
309,Uruzgan,32.8333,66.0,24.48,55,6,3.85,AF,2023-01-12 15:33:43
310,Akom,2.6678,12.7109,89.28,19,90,2.71,CM,2023-01-12 15:33:44
311,Bangkalan,-7.0455,112.7351,78.75,81,87,6.46,ID,2023-01-12 15:33:44
312,Gouyave,12.1646,-61.7296,83.17,70,20,20.71,GD,2023-01-12 15:33:44
313,Aykino,62.2248,49.9922,13.1,92,100,10.0,RU,2023-01-12 15:33:45
314,Codrington,-38.2667,141.9667,59.4,95,52,7.85,AU,2023-01-12 15:33:45
315,Jilin,43.0,126.0,25.52,91,100,3.13,CN,2023-01-12 15:33:45
316,Longyearbyen,78.2186,15.6401,28.24,74,75,10.36,SJ,2023-01-12 15:33:46
317,Saint-Augustin,51.226,-58.6502,10.63,75,20,6.44,CA,2023-01-12 15:33:46
318,Harper,4.375,-7.7169,84.22,65,40,9.48,LR,2023-01-12 15:33:46
319,Mar Del Plata,-38.0023,-57.5575,76.82,50,0,5.75,AR,2023-01-12 15:30:07
320,Thinadhoo,0.5333,72.9333,80.44,73,77,12.59,MV,2023-01-12 15:34:47
321,Marsh Harbour,26.5412,-77.0636,72.77,58,26,9.08,BS,2023-01-12 15:34:47
322,Belyy Yar,53.6039,91.3903,-20.31,76,29,2.24,RU,2023-01-12 15:34:47
323,Villazon,-22.0866,-65.5942,64.69,28,0,4.9,BO,2023-01-12 15:34:48
324,Snasa,64.2457,12.3778,38.61,92,100,10.54,NO,2023-01-12 15:34:48
325,Cayenne,4.9333,-52.3333,76.95,91,100,10.58,GF,2023-01-12 15:34:48
326,Asau,46.4333,26.4,29.32,98,100,2.19,RO,2023-01-12 15:34:49
327,Dikson,73.5069,80.5464,-19.88,91,100,11.45,RU,2023-01-12 15:34:49
328,Batagay-Alyta,67.8006,130.4114,-35.81,99,100,2.39,RU,2023-01-12 15:34:49
329,Vardo,70.3705,31.1107,37.38,81,75,17.27,NO,2023-01-12 15:34:50
330,Kalmunai,7.4167,81.8167,73.62,74,52,7.49,LK,2023-01-12 15:34:50
331,Vila Do Maio,15.1333,-23.2167,79.59,70,0,20.4,CV,2023-01-12 15:34:50
332,Taranagar,28.6709,75.0351,60.89,45,0,1.88,IN,2023-01-12 15:34:50
333,Jiayuguan,39.8167,98.3,12.25,35,100,7.65,CN,2023-01-12 15:34:51
334,Terney,45.0503,136.6092,25.2,76,6,5.37,RU,2023-01-12 15:34:51
335,Tazovskiy,67.4667,78.7,-27.85,98,89,9.91,RU,2023-01-12 15:34:51
336,Bauchi,10.5,10.0,83.17,15,2,7.25,NG,2023-01-12 15:34:52
337,Kungurtug,50.5994,97.5228,-30.69,99,67,1.41,RU,2023-01-12 15:34:52
338,Leskovik,40.1514,20.5972,37.67,73,99,2.59,AL,2023-01-12 15:34:52
339,Charlotte,35.2271,-80.8431,59.58,89,100,10.36,US,2023-01-12 15:32:27
340,Maun,-19.9833,23.4167,93.16,20,0,8.05,BW,2023-01-12 15:34:53
341,Rusape,-18.5278,32.1284,70.41,58,15,7.18,ZW,2023-01-12 15:34:53
342,Riberalta,-10.9833,-66.1,86.2,70,75,6.91,BO,2023-01-12 15:34:53
343,Soure,-0.7167,-48.5233,81.23,81,71,11.5,BR,2023-01-12 15:31:41
344,Willemstad,12.1084,-68.9335,80.51,78,20,10.36,CW,2023-01-12 15:34:54
345,Redmond,47.674,-122.1215,49.37,92,100,5.01,US,2023-01-12 15:34:04
346,San Ramon De La Nueva Oran,-23.1322,-64.326,95.43,28,0,5.75,AR,2023-01-12 15:34:54
347,Richards Bay,-28.783,32.0377,77.59,65,1,11.88,ZA,2023-01-12 15:34:55
348,Sarandi,-23.4436,-51.8739,78.35,78,75,8.05,BR,2023-01-12 15:30:43
349,Margate,51.3813,1.3862,53.87,84,100,8.99,GB,2023-01-12 15:34:55
350,Jonesboro,35.8423,-90.7043,55.17,93,100,6.91,US,2023-01-12 15:31:33
351,Shalinskoye,55.7228,93.7594,-7.49,77,77,12.91,RU,2023-01-12 15:34:55
352,Brae,60.3964,-1.353,42.1,84,45,10.16,GB,2023-01-12 15:34:56
353,Eastbourne,50.7687,0.2845,53.11,91,100,11.01,GB,2023-01-12 15:34:56
354,Hasaki,35.7333,140.8333,30.6,59,23,8.32,JP,2023-01-12 15:34:56
355,Grindavik,63.8424,-22.4338,30.67,64,40,9.22,IS,2023-01-12 15:34:57
356,Agirish,61.9247,63.0231,5.58,93,38,6.71,RU,2023-01-12 15:34:57
357,Severobaykalsk,55.65,109.3167,-15.09,91,96,5.06,RU,2023-01-12 15:34:57
358,Beloha,-25.1667,45.05,76.5,78,30,15.61,MG,2023-01-12 15:34:58
359,Mbanza-Ngungu,-5.25,14.8667,73.87,86,90,3.96,CD,2023-01-12 15:34:58
360,Kaa-Khem,51.6833,94.7333,-26.48,88,6,4.68,RU,2023-01-12 15:34:58
361,Asmara,15.3333,38.9333,54.18,86,90,3.51,ER,2023-01-12 15:34:59
362,Adrar,20.5022,-10.0711,77.22,8,0,11.99,MR,2023-01-12 15:34:59
363,Svetlyy,54.675,20.1347,44.65,78,100,22.46,RU,2023-01-12 15:34:59
364,Auki,-8.7676,160.7034,77.45,84,99,5.06,SB,2023-01-12 15:35:00
365,Magadan,59.5667,150.8,-4.14,98,99,3.47,RU,2023-01-12 15:35:00
366,Mombetsu,44.3525,143.3525,28.15,84,6,5.12,JP,2023-01-12 15:35:00
367,Tres Arroyos,-38.3739,-60.2798,77.83,23,6,16.44,AR,2023-01-12 15:36:01
368,Moerai,-22.4333,-151.3333,76.53,87,100,20.6,PF,2023-01-12 15:36:01
369,Sohbatpur,28.5202,68.5434,56.62,18,0,11.43,PK,2023-01-12 15:36:01
370,Yarmouth,41.7057,-70.2286,42.96,81,100,12.66,US,2023-01-12 15:36:01
371,Nobres,-14.7203,-56.3275,80.65,77,97,5.82,BR,2023-01-12 15:36:02
372,Ribas Do Rio Pardo,-20.4431,-53.7592,83.73,64,26,10.4,BR,2023-01-12 15:36:02
373,Chesma,53.8111,60.6533,9.39,63,98,20.74,RU,2023-01-12 15:36:02
374,Roma,43.2128,-75.4557,38.82,89,100,10.36,US,2023-01-12 15:36:03
375,Kamaishi,39.2667,141.8833,42.48,80,45,5.3,JP,2023-01-12 15:36:03
376,Buraydah,26.326,43.975,55.85,55,14,8.43,SA,2023-01-12 15:34:41
377,Goroka,-6.0834,145.3873,59.07,97,100,1.5,PG,2023-01-12 15:36:04
378,Puerto Rondon,6.2805,-71.1,86.18,57,84,8.43,CO,2023-01-12 15:36:04
379,Sampang,-7.1872,113.2394,80.8,75,66,8.75,ID,2023-01-12 15:36:04
